countrycode,country,year,democracy,polity,gdppc,enrl_gross,enrl_net,agri,slums,telephone,internet,tax,electricity,mobile,service,oil,natural,literacy,prim_compl,infant,hosp,tub,health_ex,ineq,unemploy,lifeexp,urban,un_continent_name,un_region_name,polity5,l.gdp,gdpgrowth
AZE,AZERBAIJAN,2015,0,-7,6064.473341,106.6014862,94.14265,36.36000061,NA,18.66439358,77,15.60316293,100,111.1650782,40.65042295,12.06793911,14.56859577,99.78806305,103.2802124,23.4,NA,71,4.10663605,NA,4.96,72.266,54.714,Asia,Western Asia,-7,6073.40275,-8.929409000000305
BDI,BURUNDI,2015,1,-1,228.4324481,130.9034271,NA,86.29000092,NA,0.214310391,2.1,NA,8.403089523,49.18977601,49.36541366,0,15.53249535,NA,64.53968048,45.9,NA,122,6.57857561,NA,1.55,60.123,12.078,Africa,Eastern Africa,-1,245.3266324,-16.894184300000006
BEL,BELGIUM,2015,1,8,45507.23106,103.1558075,98.06739,1.179999948,NA,39.76554624,85.05294175,24.35453781,100,113.1658212,69.2286131,0,0.019531679,NA,NA,3.2,5.83,9.5,10.42703342,3.4,8.48,80.99268293,97.876,Europe,Western Europe,8,44855.9702,651.2608599999949
BEN,BENIN,2015,1,7,1128.995399,132.4668427,NA,41.08000183,NA,1.840647537,11.25498791,NA,29.62,88.1051181,49.2408969,0.057371009,4.304299508,NA,81.14032745,64.3,NA,60,2.90741515,1,2.57,60.608,45.695,Africa,Western Africa,7,1140.448173,-11.45277400000009
BFA,BURKINA FASO,2015,0,6,726.7128302,88.36615753,69.38962,29.75,NA,0.414535689,7,13.2802007,16.07070351,79.77028842,44.08181423,0,11.63285023,NA,62.02980042,59.5,NA,52,5.82546854,NA,6.04,59.919,27.53,Africa,Western Africa,6,720.1517026,6.561127599999963
BGD,BANGLADESH,2015,0,1,1002.388795,NA,NA,43.45999908,NA,0.553106104,8.3,8.498348828,74.44007874,84.07708629,53.71383194,0.029243276,0.934311292,65.1373291,NA,30.6,0.77,221,2.46311474,NA,4.38,71.514,34.308,Asia,Southern Asia,1,951.3320759,51.05671910000001
BGR,BULGARIA,2015,1,9,7663.722029,94.19827271,90.40649,6.860000134,NA,22.98525739,56.65625161,20.29004878,100,127.70783,58.60599142,0.014923731,0.65940609,NA,96.19129181,6.8,7.24,28,7.41338348,1.5,9.14,74.61463415,73.99,Europe,Eastern Europe,9,7322.808629,340.91339999999946
BHR,BAHRAIN,2015,0,-10,22353.32701,101.2005081,96.45648,1.080000043,NA,20.41876268,93.4783008,NA,100,183.6245336,58.59491702,2.447404534,5.129701491,NA,98.74027252,6.5,1.95,15,4.97506618,NA,1.32,76.762,88.999,Asia,Western Asia,-10,22395.33956,-42.012549999999464
BHS,BAHAMAS,2015,1,NA,27583.85102,86.22971344,79.81499,2.4400000569999998,NA,32.31508848,78,12.83895164,100,83.15606912,77.16296069,0,0.014446952,NA,85.22869873,12,2.83,19,5.20896244,NA,12,73.088,82.746,Americas,Caribbean,NA,27785.88084,-202.02982000000338
BIH,BOSNIA,2015,1,NA,5352.718894,NA,NA,17.52000046,NA,22.53142787,52.6,19.9342157,99.7,100.4128758,56.1754859,0,1.013488849,NA,NA,5.4,NA,40,9.33953667,NA,27.69,76.865,47.173,Europe,Southern Europe,NA,5113.670747,239.04814699999952
BLR,BELARUS,2015,0,-7,6384.817145,99.14978027,93.96598,9.699999809,NA,48.10332157,62.23036091,14.17309447,100,121.2815762,47.7421763,0.421769563,1.153056425,NA,96.76220703,3,NA,50,6.06533337,4.1,5.91,73.62439024,77.181,Europe,Eastern Europe,-7,6649.649328,-264.83218300000044
BLZ,BELIZE,2015,1,NA,4308.190141,112.8883286,96.20372,18.07999992,NA,6.539440838,41.59,25.10104564,91.8,58.72170181,60.0728643,0.788575477,1.208047792,NA,104.2317963,13.2,NA,25,5.81823015,NA,7.58,74.034,45.406,Americas,Central America,NA,4287.442683,20.747457999999824
BOL,BOLIVIA,2015,1,7,2361.056099,95.90843964,87.3167,27.85000038,NA,8.107239094,37.49,NA,91.522822,93.49660939,45.97640028,1.340657277,3.767257349,92.45507813,88.83914185,25.1,1.13,117,6.55064964,1.1,3.07,70.277,68.393,Americas,South America,7,2286.013171,75.04292799999985
BRA,BRAZIL,2015,1,8,11431.15504,NA,94.73055,10.19999981,NA,21.36096402,58.32795173,13.62971679,99.710902,126.0879559,62.30786717,1.076084346,2.386846557,92.04789734,NA,14,2.15,43,8.87090969,1.2,8.43,74.994,85.77,Americas,South America,8,11951.20892,-520.0538799999995
BRB,BARBADOS,2015,1,NA,15836.21599,95.91723633,93.76577,2.890000105,NA,52.40778904,76.11,25.39180814,100,117.337483,NA,0.168746667,0.184925552,NA,NA,13,5.9,0,6.7748456,NA,11.35,78.801,31.249,Americas,Caribbean,NA,15484.9469,351.2690899999998
BRN,BRUNEI,2015,0,NA,32872.91231,105.5275497,92.48465,0.74000001,NA,18.3178399,71.2,NA,100,111.6838231,39.43045015,7.708450648,19.41882555,NA,102.1722794,8.8,2.77,59,2.38708901,NA,7.69,75.318,76.663,Asia,South-Eastern Asia,NA,33416.0479,-543.135589999998
BTN,BHUTAN,2015,0,5,2780.785155,104.2337723,88.17317,58,NA,2.996526881,39.8,13.26203862,95.44389343,92.83820321,38.61861691,0,4.028295413,NA,NA,27.4,NA,165,3.65720773,NA,2.45,70.419,38.678,Asia,Southern Asia,5,2639.611895,141.17326000000003
BWA,BOTSWANA,2015,1,8,7613.69852,103.2383881,NA,21.89999962,NA,7.567727126,37.31205037,24.68751301,62.13,163.8751723,58.14635966,0,0.740622265,NA,NA,32.1,NA,356,5.72629929,1.5,17.71,67.338,67.155,Africa,Southern Africa,8,7864.232154,-250.53363400000035
CAF,CENTRAL AFRICAN REP.,2015,0,0,346.6937467,NA,NA,71.83000183,NA,0.04186354,3.8,5.448991385,12.74572849,27.65294881,42.13239284,0,12.66145709,NA,NA,89.7,NA,540,5.03434181,NA,4.3,50.881,40.277,Africa,Middle Africa,0,334.4408238,12.252922900000044
CAN,CANADA,2015,1,10,50382.86307,102.4850769,99.58907,1.639999986,NA,43.33530798,90,12.38981091,100,82.61933463,67.00099777,0.037848988,0.334893277,NA,NA,4.6,2.62,5.2,10.68328094,2.5,6.91,81.9,81.259,Americas,Northern America,10,50427.88801,-45.02494000000297
CHE,SWITZERLAND,2015,1,10,79701.981,104.1841965,93.31881,3.4400000569999998,NA,49.8989065,87.4790556,9.446872617,100,135.5130156,71.80021934,0,0.010788837,NA,95.77346802,3.8,4.73,7.4,11.36931515,3.2,4.8,82.89756098,73.718,Europe,Western Europe,10,79299.83401,402.1469899999938
CHL,CHILE,2015,1,10,14722.36387,100.6848373,93.43477,9.380000114,NA,19.17642778,76.62959195,17.44376183,99.714844,129.1440655,57.8926858,0.020420417,4.02835584,96.87413025,96.97695923,6.7,2.14,16,8.30269146,2.2,6.51,79.646,87.36,Americas,South America,10,14561.31796,161.0459099999989
CHN,CHINA,2015,0,-7,6500.418323,96.31860352,NA,28.59000015,NA,16.41940148,50.3,9.376920447,100,91.835388,50.77164515,0.336653518,1.182763884,NA,NA,9.2,3.79,65,4.8887229,2.6,4.6,75.928,55.5,Asia,Eastern Asia,-7,6103.748402,396.6699209999997
CIV,COTE D'IVOIRE,2015,0,4,1463.710212,90.65904236,76.73595,43.5,NA,1.19368937,38.44000017,11.17582233,62.6,109.3922913,47.77376273,0.432285327,3.29367335,NA,60.44213104,65.3,NA,159,4.42198133,2.1,3.1,56.065,49.444,Africa,Western Africa,4,1379.141352,84.56885999999986
CMR,CAMEROON,2015,0,-4,1441.783476,116.2104416,92.07438,46.58000183,NA,4.507959527,18.3,12.61280732,58.55207825,77.94823655,52.07620492,2.121041347,6.104342717,NA,74.17043304,57.3,NA,212,3.74885845,NA,3.51,57.583,54.578,Africa,Middle Africa,-4,1401.753483,40.029993000000104
COG,"CONGO, REP.",2015,0,-4,3106.340771,NA,NA,34.34999847,NA,0.350075524,7.615974662,12.75364185,44.18732071,107.4114077,39.62167026,13.11597993,17.34214591,NA,NA,38.5,NA,379,3.41535068,NA,9.9,63.097,65.543,Africa,Middle Africa,-4,3301.690073,-195.34930200000008
COL,COLOMBIA,2015,1,7,7580.275713,115.2318878,91.9363,16.01000023,NA,14.96034136,55.90497251,15.79726266,98.186898,120.636922,56.21554582,2.730634075,3.678660325,94.24504852,100.0330505,13.4,1.61,31,7.52338552,1.3,8.3,76.531,79.764,Americas,South America,7,7449.325237,130.95047599999998
COM,COMOROS,2015,1,9,1353.644261,NA,NA,37.27000046,NA,1.877868448,7.459161386,NA,74.37182617,54.64019634,54.89954383,0,2.465839676,NA,NA,54.1,NA,35,4.73517609,NA,8.09,63.471,28.47,Africa,Eastern Africa,9,1370.513368,-16.869106999999985
CPV,CAPE VERDE,2015,1,NA,3414.577506,105.4968414,93.24357,14.53999996,NA,12.11716974,42.68301416,18.7780858,87.13669586,116.527138,60.51862181,0,0.799397011,86.79029083,95.21536255,16.7,NA,64,4.81784487,2.2,11.9,72.117,64.3,Africa,Western Africa,NA,3422.702573,-8.125066999999945
CRI,COSTA RICA,2015,1,10,9356.921319,111.2979507,97.60783,12.31000042,NA,17.72996598,59.76295014,13.25399422,99.409804,155.4435575,67.29795907,0,1.147252451,NA,99.58660126,7.7,1.16,11,7.82285929,1.5,9,79.565,76.862,Americas,Central America,10,9125.909569,231.01174999999967
CUB,CUBA,2015,0,-7,6522.739103,99.48757935,93.98312,18.64999962,NA,11.44266719,37.30509742,NA,98.67454529,29.45174834,72.75888584,0.447435372,0.692245052,NA,97.07624054,4.2,5.24,7.1,12.81401348,NA,2.4,78.561,76.896,Americas,Caribbean,-7,6255.422288,267.31681500000013
CYP,CYPRUS,2015,1,10,27865.59322,99.30011749,97.36852,4,NA,38.15949546,71.71574092,24.1283264,100,130.9823176,75.45816337,0,0.019967407,NA,96.81906128,2.2,3.42,6.2,6.92568588,3.2,14.91,80.35,66.946,Asia,Western Asia,10,26843.41546,1022.1777599999987
CZE,CZECH REPUBLIC,2015,1,9,21560.82623,99.51667786,88.69066,2.930000067,NA,17.98436565,75.6688387,14.76956046,100,117.4805076,54.05741974,0.010379548,0.309695938,NA,96.07079315,2.5,6.67,5.5,7.24275684,3.9,5.05,78.57804878,73.477,Europe,Eastern Europe,9,20498.70575,1062.1204799999978
DEU,GERMANY,2015,1,10,45208.06245,101.66745,89.23147,1.389999986,NA,55.44863133,87.58979935,11.47872896,100,117.8176431,62.1545645,0.010966974,0.075511768,NA,98.91829681,3.3,8.13,7.3,11.17801952,3.1,4.62,80.64146341,77.2,Europe,Western Europe,10,44930.79213,277.270319999996
DJI,DJIBOUTI,2015,0,3,NA,70.13204193,60.7187,28.20999908,NA,2.505708468,22.9,NA,57.66145325,34.3930424,80.24235533,0,0.66101077,NA,65.59613037,54.3,1.4,367,3.07555771,NA,11.39,64.136,77.417,Africa,Eastern Africa,3,NA,NA
DMA,DOMINICA,2015,1,NA,6891.894777,116.1912079,NA,NA,NA,28.91842153,65,NA,99.77677155,108.5287217,58.66478538,0,0.047444635,NA,105.9535828,27.3,NA,11,5.1857729,NA,NA,NA,69.579,Americas,Caribbean,NA,7090.860922,-198.96614499999941
DNK,DENMARK,2015,1,10,60402.12964,101.4564438,98.37249,2.49000001,NA,26.71459799,96.33050162,33.92161906,100,124.4441651,65.83381243,0.393694127,0.534416293,NA,98.73802948,3.5,2.53,6.5,10.22716618,3.7,6.28,80.70243902,87.526,Europe,Northern Europe,10,59437.94732,964.1823199999999
DOM,DOMINICAN REPUBLIC,2015,1,8,6661.868282,111.4053574,93.52992,9.720000267,NA,12.69216704,54.21576634,12.81184796,98.560364,85.56234973,59.06150326,0,0.535347858,91.99121094,99.52607727,26,1.58,55,5.78464127,1.9,7.61,73.241,78.566,Americas,Caribbean,8,6301.69379,360.1744920000001
DZA,ALGERIA,2015,0,2,4777.414791,115.8778381,97.54838,10.38000011,NA,8.224904208,38.2,NA,99.18688965,108.8089403,48.51919759,12.8196651,15.85764042,NA,105.5467224,21.6,1.9,75,6.97849178,NA,11.21,76.09,70.848,Africa,Northern Africa,2,4702.157063,75.2577280000005
ECU,ECUADOR,2015,1,5,5330.538497,107.6838379,91.6503,26.19000053,NA,15.49872872,48.94043379,NA,98.825883,79.84070461,51.37334502,4.351543513,4.785458165,94.45565796,106.4048386,13,1.57,39,8.58845711,1.6,3.62,76.143,63.398,Americas,South America,5,5412.133682,-81.59518500000013
EGY,EGYPT,2015,0,-4,2704.919707,NA,NA,25.81999969,NA,6.744873656,37.81938343,12.5192111,99.3,101.7022519,53.17055117,3.091911172,4.178824435,NA,NA,19.9,1.56,15,5.33657265,3.9,13.05,71.302,42.785,Africa,Northern Africa,-4,2649.447281,55.472425999999814
ERI,ERITREA,2015,0,-7,NA,76.16100311,59.76386,65.48000336,NA,1.974382093,1.083733116,NA,45.57744598,14.20956809,NA,NA,NA,NA,62.84111023,34,NA,102,4.4600234,NA,6.66,64.664,NA,Africa,Eastern Africa,-7,NA,NA
ESP,SPAIN,2015,1,10,30549.79181,106.3639908,99.39278,4.1199998860000004,NA,41.51041249,78.68963187,NA,100,109.4186042,67.97928711,0.002939417,0.047946213,98.14325714,103.3596802,2.7,2.98,9.9,9.12686825,1.9,22.06,82.83170732,79.602,Europe,Southern Europe,10,29398.61031,1151.1814999999988
EST,ESTONIA,2015,1,9,17620.58976,97.14640808,93.48484,3.9000000950000002,NA,29.46853439,88.4097035,21.51339499,100,144.7205063,60.2850418,0.282929854,1.145025253,NA,98.76663971,2.5,4.96,18,6.34629202,2.7,6.19,77.5902439,68.416,Europe,Northern Europe,9,17312.74378,307.84597999999824
ETH,ETHIOPIA,2015,0,-3,482.6390903,100.971489,84.62346,69.40000153,NA,0.883262711,13.85517556,8.351338267,29,41.96106195,39.54570915,0,12.19036608,NA,54.11090088,43.1,0.3,192,3.82316828,2.9,2.2,65.048,19.428,Africa,Eastern Africa,-3,449.4203268,33.21876350000002
FIN,FINLAND,2015,1,10,45647.66859,100.560791,99.11706,4.21999979,NA,9.800913025,86.42213333,20.47070511,100,134.9395252,60.82266954,0,0.413878313,NA,99.03192139,2,4.35,5.6,9.64523888,3.8,9.38,81.4804878,85.225,Europe,Northern Europe,10,45550.63234,97.03625000000466
FJI,FIJI,2015,1,2,4352.441203,106.7164612,98.72797,19.87999916,NA,8.353988536,42.5,23.61570563,95.12813568,111.2042338,55.43723633,0,1.040825065,NA,111.6333008,20.6,1.87,52,3.32468939,NA,4.36,67.103,54.726,Oceania,Melanesia,2,4175.438176,177.00302700000066
FRA,FRANCE,2015,1,9,41793.54471,101.9896393,98.43569,2.710000038,NA,60.39886305,78.00603771,23.19771546,100,103.4564614,70.20872149,0.005163267,0.041049665,NA,NA,3.5,6.13,8.4,11.46616745,3.1,10.35,82.32195122,79.655,Europe,Western Europe,9,41480.76961,312.77509999999893
FSM,"MICRONESIA, FED.",2015,1,NA,2718.686247,97.17474365,85.45699,NA,NA,6.251894026,31.50108128,5.418243679,74.47687531,20.66669728,61.85347463,0,0.032192135,NA,NA,27.8,NA,119,12.49603271,NA,NA,67.315,22.456,Oceania,Micronesia,NA,2633.458201,85.22804600000018
GAB,GABON,2015,0,3,9521.269005,NA,NA,32.13999939,NA,0.963091587,45.78453653,12.83006855,87.32967377,144.8670371,39.02919298,9.928434319,12.47895127,NA,NA,35.8,NA,537,2.65743947,NA,20.22,64.913,88.118,Africa,Middle Africa,3,9476.594707,44.67429799999991
GBR,UNITED KINGDOM,2015,1,NA,42121.67682,101.9252701,99.93433,1.139999986,NA,50.42730698,92.00029987,25.00332093,100,120.3319425,70.11972551,0.230328312,0.331668096,NA,102.010498,3.8,2.61,10,9.9043521900000009,2.9,5.3,80.95609756,82.626,Europe,Northern Europe,NA,41476.63928,645.0375399999975
GEO,GEORGIA,2015,1,7,4185.813871,102.7534714,99.58342,44.04999924,NA,23.61142622,47.56975964,22.24723737,100,137.9343335,62.01915427,0.040274177,0.55624032,NA,102.9413834,9.4,NA,99,7.93235874,2.6,16.51,72.973,57.448,Asia,Western Asia,7,4069.424495,116.38937600000008
GHA,GHANA,2015,1,8,1624.34119,108.3378906,89.28957,35.18000031,NA,0.9895076,23,18.67198652,74.17105103,125.7069529,42.14244854,1.410833956,10.89419915,NA,98.75621796,38.8,NA,160,4.62171459,NA,6.81,62.772,54.086,Africa,Western Africa,8,1627.108072,-2.766881999999896
GIN,GUINEA,2015,0,4,750.470134,NA,NA,63.97999954,NA,0,8.2,NA,33.9978981,94.15602819,45.50622732,0,14.1138586,NA,NA,68.7,NA,177,5.80920601,NA,4.38,59.598,35.141,Africa,Western Africa,4,741.0386056,9.431528400000047
GMB,GAMBIA,2015,0,-5,754.9924337,90.04512787,71.9013,29.38999939,NA,2.157383525,19.7,NA,54.44612503,130.1943563,51.88978736,0,5.558881778,50.77796936,67.47250366,39.8,NA,173,3.17612934,3,9.3,60.91,59.228,Africa,Western Africa,-5,747.710579,7.28185469999994
GNB,GUINEA-BISSAU,2015,0,6,575.0504948,NA,NA,62.81999969,NA,0,NA,NA,20.14110756,71.29240008,36.42825408,0,19.87141771,NA,NA,59.2,NA,361,8.59115314,NA,3.01,56.959,42.123,Africa,Western Africa,6,556.1490447,18.901450100000034
GNQ,EQUATORIAL GUINEA,2015,0,-6,14093.72914,61.7751503,43.48324,38.36000061,NA,0.969905046,NA,11.45673493,65.99684906,45.64013391,39.12221535,12.67798268,17.98058014,NA,40.77592087,68.1,NA,172,2.91533971,NA,8.31,57.359,70.616,Africa,Middle Africa,-6,16146.11682,-2052.38768
GRC,GREECE,2015,1,10,22337.15052,99.52629852,97.32526,12.899999619999999,NA,49.34975023,66.83495949,24.91791788,100,117.8887779,69.9523872,0.004135843,0.068717082,NA,97.3575592,3.9,4.25,4.7,8.01678371,1.9,24.9,81.03658537,78.046,Europe,Southern Europe,10,22282.24433,54.90618999999788
GRD,GRENADA,2015,1,NA,8193.939116,118.5521622,NA,NA,NA,24.66628345,53.81,NA,92.20235443,109.2774569,66.76277398,0,0,NA,NA,14.2,3.78,5.2,4.64675617,NA,NA,72.445,35.997,Americas,Caribbean,NA,7747.643017,446.29609899999923
GTM,GUATEMALA,2015,1,8,3159.603572,101.5126877,85.21609,31.87999916,NA,10.57596375,28.80594156,10.35825157,90.49639893,111.4995795,61.44899196,0.126216837,1.788112322,NA,82.71166992,23.7,0.58,26,5.85707808,NA,2.51,73.25,49.971,Americas,Central America,8,3087.169465,72.43410700000004
GUY,GUYANA,2015,1,7,5269.883778,NA,NA,16.92000008,NA,20.07435186,34,NA,88.08779907,70.70307206,44.10500451,0,8.564432501,NA,NA,27.4,NA,93,5.36894894,NA,13.46,69.262,26.441,Americas,South America,7,5261.756329,8.127449000000524
HND,HONDURAS,2015,1,7,2067.292756,92.7776413,77.96419,28.71999931,NA,5.454587752,27.1,17.34447206,89.98171,88.31847018,58.83306705,0,1.568462312,87.90682983,NA,16.5,0.66,40,7.48378992,1.3,6.15,74.495,55.165,Americas,Central America,7,2025.816457,41.476298999999926
HRV,CROATIA,2015,1,9,14111.25125,100.5792313,88.94188,9.229999542,NA,34.88187931,69.84503592,20.84564679,100,104.3182481,58.44501859,0.192505382,0.694377569,NA,103.4840393,4.2,5.56,13,6.78635979,2.7,16.18,77.27560976,56.155,Europe,Southern Europe,9,13663.16545,448.0857999999989
HTI,HAITI,2015,0,0,1260.600439,NA,NA,30.40999985,NA,0.053218434,12.1977,NA,40.75870895,68.25273558,52.50275612,0,0.572188967,NA,NA,53.2,NA,194,8.62852955,NA,13.95,62.485,52.427,Americas,Caribbean,0,1257.773914,2.826524999999947
HUN,HUNGARY,2015,1,10,14850.4252,102.325119,91.23812,4.900000095,NA,31.64504364,72.83473703,23.25368296,100,101.2544484,54.04544706,0.072450627,0.281004931,NA,96.9503479,4.3,6.99,10,6.88948917,3,6.81,75.56829268,70.5,Europe,Eastern Europe,10,14270.10814,580.3170599999994
IDN,INDONESIA,2015,1,9,3824.27487,105.9602432,NA,33.04000092,NA,4.016528455,22.0627426,10.75348778,97.53736744,131.1804585,43.30908092,0.788731,3.116901829,95.21793365,NA,23.3,0.98,325,2.99113512,3,4.51,70.768,53.313,Asia,South-Eastern Asia,9,3692.986879,131.28799100000015
IND,INDIA,2015,1,9,1751.664449,108.4852295,NA,45.25999832,NA,1.947864992,14.9,10.56970905,88,76.40759943,47.78374812,0.354014207,1.764172696,NA,97.71131897,34.9,0.58,217,3.59565997,NA,5.56,68.607,32.777,Asia,Southern Asia,9,1640.185025,111.47942400000011
IRL,IRELAND,2015,1,10,65490.85936,101.184639,95.75035,5.340000153,NA,41.52799884,83.49479167,18.77896299,100,105.3646002,53.68741633,0,0.017802752,NA,98.70777893,3.2,2.92,7.3,7.31716299,3.1,9.91,81.45365854,62.538,Europe,Northern Europe,10,52815.5291,12675.330260000002
IRN,IRAN,2015,0,-7,6070.187825,108.9007034,99.69128,18.03000069,NA,38.7541274,45.33497615,NA,99.96,94.55563842,55.90623757,12.76753869,15.81645541,NA,98.30149841,13.8,1.5,16,7.76057911,2.4,11.06,75.796,73.358,Asia,Southern Asia,-7,6232.93413,-162.74630499999967
IRQ,IRAQ,2015,0,6,5388.56703,NA,NA,20.38999939,NA,5.61392485,16.8,1.321196149,99.35511017,94.34036257,51.24965618,34.01128189,34.2467187,NA,NA,24.6,1.38,43,3.14279079,NA,10.72,69.929,69.921,Asia,Western Asia,6,5319.050036,69.51699400000052
ISL,ICELAND,2015,1,NA,47505.70406,98.62542725,98.56708,4.239999771,NA,50.91674918,98.2,22.6886428,100,116.2534861,64.36635205,0,3.01799e-4,NA,96.57388306,1.8,3.12,2.4,8.13130188,3.9,3.98,82.46829268,93.7,Europe,Northern Europe,NA,45964.00454,1541.6995199999947
ISR,ISRAEL,2015,1,6,33123.53307,105.6239624,97.20197,1.019999981,NA,42.76498435,77.35208966,23.31844779,100,132.4812089,68.22289475,0.001941378,0.246481302,NA,110.0570297,3.2,3.03,4,7.10652399,NA,5.25,82.05121951,92.179,Asia,Western Asia,6,33053.19324,70.33982999999716
ITA,ITALY,2015,1,10,33961.43619,100.3867493,96.56912,3.75,NA,33.36055862,58.14173496,24.73952717,100,144.756385,66.97142305,0.046671378,0.081836473,NA,99.80954742,3,3.2,6.6,8.85689163,1.7,11.9,82.54390244,69.565,Europe,Southern Europe,10,33666.69191,294.744279999999
JAM,JAMAICA,2015,1,9,4722.665689,91.88555908,84.96535,17.75,NA,8.746010492,42.22122119,24.81530926,94.9,108.5157458,61.84372019,0,1.266112454,NA,85.76687622,13.4,1.69,4.5,5.62562609,NA,13.51,74.098,54.833,Americas,Caribbean,9,4705.401813,17.263875999999982
JOR,JORDAN,2015,0,-3,3350.394203,NA,NA,2.880000114,NA,3.981384708,60.11438269,14.95102562,99.96422577,148.9004082,60.14076208,8.50612e-4,1.400035893,NA,NA,15.1,1.38,5.7,7.59315777,NA,13.08,74.078,90.256,Asia,Western Asia,-3,3396.24026,-45.8460570000002
JPN,JAPAN,2015,1,10,47102.58088,NA,NA,3.630000114,NA,49.77576497,91.05802839,NA,100,125.4518632,69.29594945,8.36117e-4,0.028211418,NA,NA,2,13.17,16,10.88550663,NA,3.4,83.79390244,91.381,Asia,Eastern Asia,10,46484.15527,618.4256099999984
KAZ,KAZAKHSTAN,2015,0,-6,10617.47466,111.6400833,86.31191,18.01000023,NA,23.60457673,70.8299336,9.835711552,100,149.7227182,59.29762787,6.753169056,9.55269289,NA,114.2725296,10.5,NA,81,3.04051089,4.3,4.93,71.97,57.191,Asia,Central Asia,-6,10646.03446,-28.559800000000905
KEN,KENYA,2015,1,9,1093.134102,103.6615677,NA,57.25999832,NA,0.17856928,16.58785485,16.2566354,41.6,78.77455056,46.21641225,0,2.960045209,NA,99.1434021,35.3,NA,380,5.21938848,2.4,2.8,64.798,25.658,Africa,Eastern Africa,9,1060.093155,33.04094699999996
KGZ,KYRGYZSTAN,2015,0,7,1021.160791,105.4100723,89.45166,29.30999947,NA,6.847268246,30.24704278,16.80166806,98.69,127.1905538,52.14983226,0.120833212,4.336878115,NA,108.2003632,19.9,NA,136,7.14930916,4.1,7.56,70.65121951,35.777,Asia,Central Asia,7,1003.510404,17.650387000000023
