"","rowlabel","split","sex","yrsarea","resyrago","work2","tenure1","livharm1","agegrp7","ethgrp2a","educat3","rural2","edeprivex","wdeprivex","IndivWgtx","cause2m","walkdark","walkday","homealon","wburgl","wmugged","wcarstol","wfromcar","wraped","wattack","wraceatt","worryx","bcsvictim","rubbcomm","vandcomm","poorhou","antisocx"
"11",136229130,"A (Experience of the police)","Male",4,NA,1,2,3,"25-34",1,"Degree or diploma","Urban",1,NA,0.534891963005066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,0.936446130275726
"12",136947260,"B (Attitudes to the CJS)","Male",5,NA,2,1,1,"75+",1,"Apprenticeship or A/AS level","Urban",NA,4,0.651665151119232,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,0,4,4,4,NA
"13",147438230,"C (Crime preventing)","Female",7,NA,2,4,1,"75+",1,"None","Rural",2,NA,1.38918423652649,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not very worried","Not very worried","Not at all worried",-0.246148273348808,0,3,3,3,NA
"14",136318080,"D (Online security)","Male",7,NA,1,1,1,"45-54",3,"O level/GCSE","Urban",1,NA,1.09799647331238,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0,2,4,1,NA
"15",137011300,"B (Attitudes to the CJS)","Female",7,NA,2,1,3,"45-54",1,"Apprenticeship or A/AS level","Urban",3,NA,1.02577245235443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,4,NA
"16",136610310,"C (Crime preventing)","Female",7,NA,2,1,6,"75+",1,"None","Urban",4,NA,0.368914783000946,NA,NA,NA,NA,"Not very worried","Fairly Worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.205736204981804,0,4,4,4,NA
"17",136602010,"A (Experience of the police)","Male",3,NA,1,4,4,"45-54",1,"Degree or diploma","Urban",5,NA,0.50788426399231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,0.938187062740326
"18",136659080,"D (Online security)","Male",7,NA,2,1,6,"65-74",1,"Apprenticeship or A/AS level","Urban",2,NA,0.463606536388397,7,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"19",136613110,"C (Crime preventing)","Male",2,1,2,1,3,"55-64",1,"Apprenticeship or A/AS level","Urban",1,NA,0.484673321247101,NA,NA,NA,NA,"Not at all worried","Not very worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.770853579044342,0,3,4,3,NA
"20",136842090,"A (Experience of the police)","Female",7,NA,1,2,1,"35-44",1,"Degree or diploma","Urban",1,NA,1.24301421642303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,2.42253255844116
"21",147439070,"C (Crime preventing)","Female",7,NA,2,1,4,"65-74",1,"O level/GCSE","Urban",2,NA,0.593143463134766,NA,NA,NA,NA,"Not at all worried","Not at all worried",NA,NA,"Not at all worried","Not at all worried","Not at all worried",-1.3885418176651,0,4,4,4,NA
"22",137091280,"D (Online security)","Female",5,NA,2,4,2,"45-54",1,"O level/GCSE","Urban",NA,1,1.57187855243683,5,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,3,NA
"23",136044190,"C (Crime preventing)","Female",6,NA,1,2,1,"35-44",1,"Apprenticeship or A/AS level","Urban",2,NA,2.04961824417114,NA,NA,NA,NA,"Not very worried","Not at all worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.822691202163696,0,4,4,4,NA
"24",147591040,"D (Online security)","Female",6,NA,1,2,1,"45-54",1,"Degree or diploma","Urban",4,NA,1.10989594459534,5,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,3,NA
"25",136941090,"A (Experience of the police)","Female",4,NA,1,2,1,"35-44",1,"Degree or diploma","Rural",5,NA,0.545940697193146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,-0.252225667238235
"26",147499200,"D (Online security)","Male",5,NA,1,1,2,"45-54",1,"Apprenticeship or A/AS level","Urban",NA,2,0.541649281978607,13,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"27",137000320,"D (Online security)","Female",6,NA,2,4,5,"55-64",1,"O level/GCSE","Urban",1,NA,0.657516777515411,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,3,NA
"28",136994150,"C (Crime preventing)","Male",6,NA,1,4,3,"25-34",1,"Degree or diploma","Urban",1,NA,0.824039340019226,NA,NA,NA,NA,"Not very worried","Fairly Worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.205736204981804,0,3,3,3,NA
"29",136088080,"D (Online security)","Female",1,2,1,4,5,"55-64",1,"Other","Urban",2,NA,0.551782310009003,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,4,NA
"30",147272190,"C (Crime preventing)","Male",7,NA,2,5,2,"65-74",1,"None","Rural",4,NA,1.18958330154419,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.514213681221008,0,4,4,4,NA
"31",137087210,"A (Experience of the police)","Female",7,1,2,4,1,"65-74",1,"Degree or diploma","Rural",NA,4,0.475309729576111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,-1.21526670455933
"32",136608020,"B (Attitudes to the CJS)","Female",6,NA,2,1,6,"75+",1,"Other","Rural",4,NA,0.618464887142181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"33",136040300,"B (Attitudes to the CJS)","Male",7,NA,2,1,1,"65-74",1,"Apprenticeship or A/AS level","Urban",2,NA,1.14432644844055,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,0,3,3,3,NA
"34",136578220,"B (Attitudes to the CJS)","Female",6,NA,1,5,1,"25-34",3,"Degree or diploma","Urban",3,NA,3.26377964019775,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,0,3,3,3,NA
"35",136726270,"C (Crime preventing)","Female",6,NA,1,4,3,"45-54",1,"Degree or diploma","Urban",2,NA,0.639819085597992,NA,NA,NA,NA,"Fairly Worried","Not very worried",NA,NA,"Not very worried","Not very worried","Not at all worried",0.0104916086420417,1,2,3,1,NA
"36",136442170,"A (Experience of the police)","Male",7,NA,1,4,5,"45-54",1,"None","Urban",2,NA,0.637448489665985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,-0.235942155122757
"37",136697180,"B (Attitudes to the CJS)","Male",7,NA,1,4,3,"55-64",1,"O level/GCSE","Urban",2,NA,1.17414486408234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,NA
"38",147439050,"A (Experience of the police)","Female",6,NA,2,2,6,"65-74",5,"Degree or diploma","Urban",2,NA,0.585924744606018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,3,0.190849483013153
"39",136087150,"C (Crime preventing)","Female",5,NA,2,1,3,"45-54",1,"Degree or diploma","Rural",4,NA,0.534284174442291,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not very worried","Fairly Worried","Not at all worried",0.0630624443292618,0,4,4,4,NA
"40",136274030,"C (Crime preventing)","Male",1,2,1,2,1,"35-44",1,"Other","Urban",1,NA,1.30145263671875,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not very worried","Not very worried","Not very worried",0.0417585112154484,0,3,3,3,NA
"41",137122140,"B (Attitudes to the CJS)","Male",4,NA,2,4,2,"25-34",1,"O level/GCSE","Urban",1,NA,1.39866209030151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,4,NA
"42",147288160,"D (Online security)","Male",7,NA,1,5,3,"16-24",1,"Apprenticeship or A/AS level","Urban",1,NA,1.46251177787781,5,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"43",147342110,"C (Crime preventing)","Male",1,2,2,5,3,"16-24",3,"Apprenticeship or A/AS level","Urban",5,NA,2.04748272895813,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not at all worried","Not very worried","Not very worried",-0.226306915283203,0,4,4,4,NA
"44",147500130,"A (Experience of the police)","Female",7,NA,1,2,1,"45-54",1,"Apprenticeship or A/AS level","Urban",NA,5,0.767384767532349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,4,-1.21526670455933
"45",136895250,"A (Experience of the police)","Male",2,1,2,4,3,"45-54",1,"None","Urban",1,NA,0.66281920671463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,NA
"46",136203160,"D (Online security)","Male",7,NA,2,1,1,"55-64",1,"Degree or diploma","Urban",4,NA,0.922849297523499,7,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"47",136236100,"B (Attitudes to the CJS)","Female",7,NA,1,4,1,"25-34",1,"O level/GCSE","Urban",1,NA,0.966034352779388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,NA
"48",135304150,"C (Crime preventing)","Male",7,NA,2,4,6,"75+",1,"None","Urban",1,NA,0.994743466377258,NA,NA,NA,NA,"Not very worried","Not at all worried",NA,NA,"Not at all worried","Not at all worried","Not at all worried",-1.13190197944641,0,3,4,3,NA
"49",147368010,"A (Experience of the police)","Female",7,NA,1,5,5,"55-64",1,"Degree or diploma","Urban",2,NA,1.14521563053131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,0.0623943358659744
"50",137225090,"A (Experience of the police)","Female",2,1,2,4,3,"25-34",1,"O level/GCSE","Urban",NA,2,0.317177414894104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,0.012643457390368
"51",147560250,"A (Experience of the police)","Male",7,NA,1,4,1,"55-64",1,"None","Urban",2,NA,0.503127694129944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,-1.21526670455933
"52",147321260,"B (Attitudes to the CJS)","Female",6,NA,2,2,5,"65-74",1,"None","Urban",5,NA,0.476848661899567,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,0,4,4,4,NA
"53",136192230,"C (Crime preventing)","Male",7,NA,2,1,1,"65-74",1,"Apprenticeship or A/AS level","Urban",5,NA,0.892060518264771,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not very worried","Not at all worried","Not at all worried",-0.55535900592804,1,4,4,4,NA
"54",136577010,"A (Experience of the police)","Female",6,NA,2,4,6,"65-74",1,"None","Urban",2,NA,0.535362958908081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,-1.21526670455933
"55",135638300,"B (Attitudes to the CJS)","Male",7,NA,2,1,4,"35-44",1,"O level/GCSE","Rural",4,NA,0.277203768491745,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,0,2,4,3,NA
"56",136536220,"B (Attitudes to the CJS)","Female",2,1,1,2,2,"25-34",1,"Degree or diploma","Rural",5,NA,0.612408638000488,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,0,4,4,3,NA
"57",147376320,"D (Online security)","Male",3,NA,1,4,3,"16-24",1,"O level/GCSE","Urban",3,NA,1.66475880146027,7,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,NA
"58",136913020,"B (Attitudes to the CJS)","Male",2,1,1,2,2,"16-24",1,"O level/GCSE","Urban",3,NA,1.70725762844086,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,0,4,4,4,NA
"59",136001140,"B (Attitudes to the CJS)","Male",7,NA,1,5,3,"16-24",1,"O level/GCSE","Urban",2,NA,2.99133563041687,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,0,2,4,4,NA
"60",137126220,"B (Attitudes to the CJS)","Male",1,2,1,4,3,"16-24",1,"Degree or diploma","Urban",2,NA,0.970056653022766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,3,NA
"61",136920310,"C (Crime preventing)","Male",6,NA,2,1,6,"55-64",1,"Degree or diploma","Urban",5,NA,0.41806435585022,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not very worried","Not very worried","Not at all worried",-0.246148273348808,0,4,4,4,NA
"62",147285100,"B (Attitudes to the CJS)","Female",6,NA,1,2,5,"55-64",1,"O level/GCSE","Urban",5,NA,0.51737254858017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"63",147370260,"B (Attitudes to the CJS)","Female",7,NA,2,1,1,"55-64",1,"O level/GCSE","Urban",3,NA,1.20455539226532,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,0,4,4,4,NA
"64",136143250,"A (Experience of the police)","Male",7,NA,2,4,1,"65-74",1,"None","Urban",1,NA,1.10047578811646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,-0.263410478830338
"65",135533040,"D (Online security)","Female",6,NA,1,4,3,"25-34",1,"Degree or diploma","Urban",2,NA,0.660537719726562,10,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"66",136990140,"B (Attitudes to the CJS)","Female",7,NA,2,1,6,"75+",1,"None","Urban",1,NA,0.734715282917023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"67",147416280,"D (Online security)","Female",7,NA,1,2,1,"35-44",1,"O level/GCSE","Urban",1,NA,1.28337061405182,1,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,4,NA
"68",136474240,"D (Online security)","Female",7,NA,2,1,1,"65-74",1,"None","Rural",2,NA,0.441193699836731,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"69",136801170,"A (Experience of the police)","Male",6,NA,1,2,1,"45-54",1,"O level/GCSE","Urban",5,NA,0.894155561923981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,-0.950397610664368
"70",136386210,"A (Experience of the police)","Female",7,NA,2,1,1,"55-64",1,"None","Urban",1,NA,1.00967764854431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,0.46715971827507
"71",136545100,"B (Attitudes to the CJS)","Male",1,2,1,4,1,"35-44",1,"Degree or diploma","Urban",NA,5,1.20783030986786,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,0,4,4,4,NA
"72",147444130,"A (Experience of the police)","Female",4,2,1,2,1,"25-34",5,"Degree or diploma","Urban",5,NA,1.38560271263123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,-0.314924448728561
"73",136568030,"C (Crime preventing)","Female",7,NA,2,1,1,"65-74",1,"None","Urban",3,NA,1.03115797042847,NA,NA,NA,NA,"Very Worried","Very Worried",NA,NA,"Fairly Worried","Fairly Worried","Fairly Worried",2.03717613220215,0,4,4,4,NA
"74",136991050,"A (Experience of the police)","Female",7,NA,2,1,1,"75+",1,"None","Urban",2,NA,1.21831691265106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,-0.241040855646133
"75",137174200,"D (Online security)","Female",1,2,1,1,1,"55-64",1,"Degree or diploma","Rural",5,NA,0.500123739242554,5,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"76",147525270,"C (Crime preventing)","Female",7,NA,1,1,1,"55-64",1,"Apprenticeship or A/AS level","Rural",3,NA,2.28327536582947,NA,NA,NA,NA,"Fairly Worried","Fairly Worried",NA,NA,"Not very worried","Not very worried","Not at all worried",0.31896910071373,1,3,3,3,NA
"77",136403080,"D (Online security)","Female",7,NA,2,4,6,"75+",1,"Other","Urban",NA,2,0.634157955646515,10,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,4,NA
"78",136391120,"D (Online security)","Male",7,NA,2,1,1,"75+",1,"None","Rural",4,NA,0.647583484649658,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"79",147383260,"B (Attitudes to the CJS)","Male",2,1,2,4,2,"25-34",1,"Apprenticeship or A/AS level","Urban",2,NA,4.57313394546509,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,0,4,4,4,NA
"80",136619070,"C (Crime preventing)","Male",7,NA,2,1,1,"65-74",1,"None","Urban",1,NA,1.14216208457947,NA,NA,NA,NA,"Fairly Worried","Not very worried",NA,NA,"Not very worried","Not very worried","Not at all worried",0.0104916086420417,1,4,4,4,NA
"81",136747160,"D (Online security)","Male",7,NA,1,4,1,"45-54",1,"O level/GCSE","Urban",1,NA,0.800731241703033,6,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,3,NA
"82",136100290,"A (Experience of the police)","Male",7,NA,1,1,1,"45-54",1,"Apprenticeship or A/AS level","Urban",2,NA,0.862433969974518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,0.288866192102432
"83",136825240,"D (Online security)","Male",6,NA,1,2,1,"55-64",3,"Other","Urban",2,NA,2.44175839424133,5,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"84",136264090,"A (Experience of the police)","Male",5,NA,2,2,1,"65-74",1,"None","Rural",NA,2,0.588165760040283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,-1.21526670455933
"85",136997260,"B (Attitudes to the CJS)","Female",7,NA,2,1,1,"65-74",1,"None","Urban",2,NA,1.7891743183136,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,0,4,4,4,NA
"86",136770270,"C (Crime preventing)","Male",7,NA,2,1,1,"65-74",1,"None","Urban",3,NA,1.12519788742065,NA,NA,NA,NA,"Fairly Worried","Fairly Worried",NA,NA,"Not at all worried","Fairly Worried","Not very worried",0.648021221160889,1,3,4,3,NA
"87",136890270,"C (Crime preventing)","Female",6,1,2,4,2,"35-44",1,"O level/GCSE","Urban",1,NA,0.648966252803802,NA,NA,NA,NA,"Very Worried","Very Worried",NA,NA,"Very Worried","Very Worried","Very Worried",2.90235924720764,0,4,4,4,NA
"88",147380040,"D (Online security)","Female",5,NA,2,4,3,"35-44",4,"Apprenticeship or A/AS level","Urban",1,NA,1.55265617370605,5,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,NA
"89",136850230,"C (Crime preventing)","Female",7,NA,2,1,1,"75+",1,"None","Urban",2,NA,1.49299740791321,NA,NA,NA,NA,"Fairly Worried","Fairly Worried",NA,NA,"Not very worried","Fairly Worried","Not very worried",0.916086614131927,0,4,4,4,NA
"90",136031040,"D (Online security)","Female",7,NA,2,1,6,"75+",1,"Other","Urban",5,NA,0.730885446071625,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"91",136477010,"A (Experience of the police)","Female",1,2,1,2,1,"35-44",1,"Degree or diploma","Urban",3,NA,1.00522565841675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,4,0.314483970403671
"92",147458080,"D (Online security)","Female",5,NA,2,4,1,"65-74",1,"None","Rural",5,NA,0.916022598743439,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"93",136259030,"C (Crime preventing)","Male",7,NA,1,2,5,"45-54",1,"Degree or diploma","Urban",2,NA,0.328090012073517,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.514213681221008,0,3,3,3,NA
"94",137070040,"D (Online security)","Male",3,NA,2,1,1,"45-54",1,"O level/GCSE","Rural",1,NA,1.2281653881073,4,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,2,NA
"95",135596040,"D (Online security)","Male",3,NA,2,4,3,"16-24",1,"Apprenticeship or A/AS level","Urban",2,NA,0.68906170129776,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,4,NA
"96",136385090,"A (Experience of the police)","Female",4,NA,1,4,1,"25-34",1,"Degree or diploma","Urban",3,NA,0.872278928756714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,-0.0351976864039898
"97",136014200,"D (Online security)","Female",7,NA,2,4,4,"55-64",1,"None","Urban",1,NA,0.640076756477356,5,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA
"98",137047010,"A (Experience of the police)","Male",6,NA,1,2,1,"45-54",1,"Apprenticeship or A/AS level","Urban",3,NA,0.99979031085968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,3,-1.21526670455933
"99",135471170,"A (Experience of the police)","Female",4,1,1,4,1,"25-34",1,"O level/GCSE","Urban",5,NA,0.684247374534607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,-1.21526670455933
"100",137107080,"D (Online security)","Female",6,NA,2,4,1,"35-44",3,"O level/GCSE","Urban",2,NA,1.26274061203003,6,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,NA
"101",136446120,"D (Online security)","Female",6,NA,1,2,1,"45-54",1,"O level/GCSE","Urban",3,NA,1.02712857723236,13,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,4,NA
"102",136631010,"A (Experience of the police)","Male",5,NA,1,2,1,"35-44",1,"Apprenticeship or A/AS level","Urban",5,NA,1.30879127979279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,-0.998238801956177
"103",136572060,"B (Attitudes to the CJS)","Female",7,NA,1,2,1,"35-44",1,"Degree or diploma","Urban",3,NA,1.23501861095428,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,0,4,4,3,NA
"104",136933040,"D (Online security)","Female",6,NA,1,2,1,"45-54",1,"None","Urban",3,NA,1.52518701553345,5,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"105",137157160,"D (Online security)","Male",5,NA,1,2,1,"25-34",1,"Degree or diploma","Urban",3,NA,0.643340528011322,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"106",136673160,"D (Online security)","Female",5,NA,1,2,1,"45-54",1,"Degree or diploma","Rural",NA,5,0.551559746265411,13,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"107",147502040,"D (Online security)","Female",4,NA,2,1,1,"35-44",1,"Degree or diploma","Urban",NA,2,0.584127306938171,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,NA
"108",135260210,"A (Experience of the police)","Female",6,NA,1,2,3,"45-54",1,"Degree or diploma","Urban",4,NA,0.520379066467285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,4,-0.427352368831635
"109",136694030,"C (Crime preventing)","Male",1,2,1,4,3,"16-24",1,"Apprenticeship or A/AS level","Urban",2,NA,0.851550400257111,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not at all worried","Not very worried","Not at all worried",-0.514213681221008,0,2,2,2,NA
"110",136622010,"A (Experience of the police)","Female",7,2,1,4,3,"16-24",1,"Apprenticeship or A/AS level","Urban",2,NA,0.717942655086517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,2,0.535688698291779
"111",136762200,"D (Online security)","Female",1,2,1,4,3,"35-44",1,"Degree or diploma","Urban",3,NA,0.333475023508072,10,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,NA
"112",136260220,"B (Attitudes to the CJS)","Male",4,NA,1,4,1,"35-44",1,"Degree or diploma","Urban",3,NA,0.957044064998627,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,0,4,4,4,NA
"113",136432170,"A (Experience of the police)","Male",7,NA,2,2,2,"65-74",1,"Apprenticeship or A/AS level","Urban",1,NA,1.17812156677246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,4,3,1.23110973834991
"114",136573120,"D (Online security)","Female",7,1,2,4,3,"25-34",1,"O level/GCSE","Urban",2,NA,0.670666694641113,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0,2,4,4,NA
"115",147587230,"C (Crime preventing)","Female",6,NA,1,2,3,"55-64",1,"O level/GCSE","Urban",4,NA,0.605922341346741,NA,NA,NA,NA,"Not very worried","Not very worried",NA,NA,"Not at all worried","Not at all worried","Not at all worried",-0.823424398899078,0,4,4,4,NA
"116",137117340,"B (Attitudes to the CJS)","Male",7,NA,1,2,3,"16-24",1,"Degree or diploma","Urban",5,NA,2.38216233253479,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,0,4,4,4,NA
